label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Trex;T. Rex;T. Rex;Tyrannosaurus Rex;tiranosaurio;tiranosaurio;tyrannosaure;tyrannosaure;tirannosauro;tyrannosaurus rex;暴龙;暴龍;Tレックス;티렉스;Тираннозавр
Archelon;Archelon;Archelon;Archelon;archelon;archelon;archélon;archélon;archelone;archelon;帝龟;帝龜;アーケロン;아르켈론;Архелон
Ankiro;Ankylosaurus;Ankylosaurus;Ankylosaurus;anquilosaurio;anquilosaurio;ankylosaure;ankylosaure;anchilosauro;ankylosaurus;甲龙;甲龍;アンキロサウルス;안킬로사우루스;Анкилозавр
Iguanodon;Iguanodon;Iguanodon;Iguanodon;iguanodonte;iguanodonte;iguanodon;iguanodon;iguanodonte;iguanodon;禽龙;禽龍;イグアノドン;이구아노돈;Игуанодон
Ophthalmosaurus;Ophthalmosaurus;Ophthalmosaurus;Ophthalmosaurus;oftalmosaurio;oftalmosaurio;ophtalmosaure;ophtalmosaure;oftalmosauro;ophthalmosaurus;大眼鱼龙;大眼魚龍;オフタルモサウルス;오프탈모사우루스;Офтальмозавр
Stego;Stegosaurus;Stegosaurus;Stegosaurus;estegosaurio;estegosaurio;stégosaure;stégosaure;stegosauro;stegosaurus;剑龙;劍龍;ステゴサウルス;스테고사우루스;Стегозавр
Spino;Spinosaurus;Spinosaurus;Spinosaurus;espinosaurio;espinosaurio;spinosaure;spinosaure;spinosauro;spinosaurus;棘龙;棘龍;スピノサウルス;스피노사우루스;Спинозавр
Diplodocus;Diplodocus;Diplodocus;Diplodocus;diplodocus;diplodocus;diplodocus;diplodocus;diplodoco;diplodocus;梁龙;梁龍;ディプロドクス;디플로도쿠스;Диплодок
Dimetro;Dimetrodon;Dimetrodon;Dimetrodon;dimetrodonte;dimetrodonte;dimétrodon;dimétrodon;dimetrodonte;dimetrodon;异齿龙;異齒龍;ディメトロドン;디메트로돈;Диметродон
Tricera;Triceratops;Triceratops;Triceratops;tricerátops;tricerátops;tricératops;tricératops;triceratopo;triceratops;三角龙;三角龍;トリケラトプス;트리케라톱스;Трицератопс
Pachy;Pachycephalosaurus;Pachycephalosaurus;Pachycephalosaurus;paquicefalosaurio;paquicefalosaurio;pachycéphalosaure;pachycéphalosaure;pachicefalosauro;pachycephalosaurus;厚头龙;厚頭龍;パキケファロサウルス;파키케팔로사우루스;Пахицефалозавр
Parasauro;Parasaurolophus;Parasaurolophus;Parasaurolophus;parasaurio;parasaurio;parasaurolophus;parasaurolophus;parasauro;parasaurolophus;副栉龙;副櫛龍;パラサウロロフス;파라사우롤로푸스;Паразауролоф
Futaba;Plesiosaurus;Plesiosaurus;Plesiosaurus;plesiosaurio;plesiosaurio;plésiosaure;plésiosaure;plesiosauro;plesiosaurus;双叶铃木龙;雙葉鈴木龍;フタバサウルス;후타바사우루스;Плезиозавр
Pterano;Pteranodon;Pteranodon;Pteranodon;pteranodonte;pteranodonte;ptéranodon;ptéranodon;pteranodonte;pteranodon;无齿翼龙;無齒翼龍;プテラノドン;프테라노돈;Птеранодон
Brontotherium;Megacerops;Megacerops;Megacerops;brontoterio;brontoterio;brontothérium;brontothérium;brontoterio;brontops;巨角犀;巨角犀;メガセロプス;메가케롭스;Бронтотерий
Mammoth;Mammoth;Mammoth;Mammut;mamut;mamut;mammouth;mammouth;mammut;mammoet;长毛象;長毛象;マンモス;매머드;Мамонт
Deinonychus;Deinonychus;Deinonychus;Deinonychus;deinonico;deinonico;déinonychus;deinonychus;deinonico;deinonychus;恐爪龙;恐爪龍;ディノニクス;데이노니쿠스;Дейноних
