label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
ant00;ah-CHOO;ah-CHOO;schneuf;achús;achús;ATCHOUM;ATCHOUM;ett-CCIÙ;ha-TSJOE;有的;有的;でごわす;임돠;апчхи
ant01;honk;honk;schlürrrf;fufuf;fufuf;pouet;pouet;honk;snuit;真诚;真誠;ホントに;진짜로;го-го-го
ant02;snooooof;snooooof;schnieef;snuf-snuf;snuf-snuf;pouuuuuf;pouuuuuf;snuuf;snufffff;希希;希希;だっしー;라지요;снуф-снуф
ant03;snorty;snorty;puuust;esnoink;fa-fiú;grognon;grognon;snorty;snork;真的假的;真的假的;マジでー;정말;хрум-хрум
ant06;sniffff;sniffff;schnuff;sniff;sniff;snif snif;snif snif;sniffff;snuifff;麻烦了;麻煩了;たもれ;추릅;шмыг
ant08;gumdrop;gumdrop;schnüffel;nubecillas;snifffi;tap tap;tap tap;chic;dropje;优雅;優雅;をかし;하양하양;жуй-жуй
ant09;whiffa;whiffa;mwahaaa;fruf;fruf;tartarin;yesss;swish;toet;欧啦;歐啦;ムーチョ;무쵸;уф-уф
bea00;grooof;grooof;gruff;gruuuf;gruuuf;grrrrrr;grrrrrr;gruf;grommm;太好了;太好了;ですたい;입네다;быр-быр
bea01;wah;wah;schätzchen;terronillo;guah;ouah;ouah;cubetto;wauw;哇喔;哇喔;わぉ;와;ну и ну
bea02;fuzzball;fuzzball;grumml;oye;gromp;bouboule;bouboule;grrroan;brombeer;嗯唔;嗯唔;ウム;음;махрово
bea03;aiya;aiya;hiijaa;ándale-oso;grinchu;lala;lala;ehilà;kiai;有喔;有喔;アルヨ;그럼;ай-яй
bea05;yawwwn;yawwwn;gäähn;uuaaaah;uuaaaah;baaîîîllle;baaîîîllle;yauuun;gaaaap;嗯是;嗯是;んだ;힘내;спа-а-ать
bea06;grumble;grumble;brummel;jorrr;jorrr;grou-gnon;grou-gnon;grum grum;brom;哇哇;哇哇;ワォー;어쩌라구;бур-бур
bea07;twinkles;twinkles;hooonig;fisflash;fisflash;pic pic;pic pic;gnifa;honingbij;加油;加油;ファイト;사르르;ме-е-ед
bea08;grooomph;grooomph;brumbrum;grumf;grumf;groumpf;groumpf;gruuunf;oemf;呀呐;呀吶;やーねぇ;그라지;гррум
bea09;grrr;grrr;grrr;tostón;grrre;canaillou;canaillou;grrr;grrr;熊熊;熊熊;だクマ;냅둬;грр
bea10;yodelay;yodelay;bralala;borobó;borobó;léchouille;tourlou;bah;jodelie;耶呼;耶呼;ヤッホー;야호야호;йодль
