label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
alp;Cyrus;Cyrus;Björn;Al;Al;Serge;Serge;Merino;Cyrus;健兆;健兆;カイゾー;리포;Сайрус
alw;Reese;Reese;Rosina;Paca;Paca;Risette;Risette;Alpaca;Reese;莉咏;莉詠;リサ;리사;Риз
bev;Chip;Chip;Bartholo;Martín;Martín;Castor;Castor;Castore;Chip;俞正;俞正;うおまさ;뚱달;Чип
bey;C.J.;C.J.;Lomeus;CJ;CJ;Pollux;Pollux;Castorino;C.J.;俞司廷;俞司廷;ジャスティン;저스틴;Си-Джей
boa;Joan;Joan;Sigrid;Juana;Juana;Porcella;Porcella;Nella;Joan;曹谷;曹谷;カブリバ;무파라;Джоан
boc;Daisy Mae;Daisy Mae;Jorna;Juliana;Juliana;Porcelette;Porcelette;Brunella;Daisy Mae;曹卖;曹賣;ウリ;무파니;Дейзи-Мей
bpt;Katrina;Katrina;Smeralda;Katrina;Katrina;Astrid;Astrid;Vanda;Katrina;星薇;星薇;ハッケミィ;마추릴라;Катрина
chm;Nat;Nat;Carleon;Papilo;Papilo;Djarod;Djarod;Gustavo;Nat;龙山先生;龍山先生;カメヤマさん;멜레옹;Нат
chy;Flick;Flick;Carlson;Kamilo;Kamilo;Djason;Djason;Ivano;Flick;龙克斯;龍克斯;レックス;레온;Флик
cml;Saharah;Saharah;Aziza;Alcatifa;Alcatifa;Sarah;Sarah;Sahara;Saharah;骆岚;駱嵐;ローラン;사하라;Сахара
dga;Copper;Copper;Harry;Vigilio;Vigilio;Maret;Maret;Birro;Copper;警察叔叔;警察叔叔;おまわりさん;경찰관;Коппер
dgb;Booker;Booker;Wuff;Nocencio;Nocencio;Chausset;Chausset;Fido;Booker;警察叔叔;警察叔叔;おまわりさん;경찰관;Букер
doc;Wilbur;Wilbur;Udo;Rodri;Rodri;Rodrigue;Rodrigue;Dodoardo;Wilbur;陆德里;陸德里;ロドリー;로드리;Уилбур
dod;Orville;Orville;Bodo;Rafa;Rafa;Morris;Morris;Dodobaldo;Orville;莫里;莫里;モーリー;모리;Орвилл
fox;Redd;Redd;Reiner;Ladino;Ladino;Rounard;Rounard;Volpolo;Redd;狐利;狐利;つねきち;여욱;Рэдд
fsl;Phineas;Phineas;Helios;Elio;Elio;Hélium;Hélium;Elio;Phineas;博陆恩;博陸恩;パロンチーノ;파론티노;Финеас
grf;Gracie;Gracie;Grazia;Graciela;Graciela;Carla;Carla;Griffa;Gracie;葛瑞斯;葛瑞斯;グレース;그레이스;Грейси
gstA;Wisp;Wisp;Buhu;Buh;Buh;Follet;Follet;Spirideo;Wisp;幽幽;幽幽;ゆうたろう;깨빈;Уисп
