label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
ant00;Cyrano;Cyrano;Theo;Cirano;Cirano;Cyrano;Cyrano;Cirano;Cyrano;阳明;陽明;さくらじま;사지마;Сирано
ant01;Antonio;Antonio;Siggi;Antonio;Antonio;Antonio;Antonio;Antonio;Antonio;阿诚;阿誠;マコト;퍼머거;Антонио
ant02;Pango;Pango;Mathilda;Aspidora;Aspidora;Mathilda;Mathilda;Carlotta;Pango;佩希;佩希;パトラ;패트라;Панго
ant03;Anabelle;Anabelle;Annabell;Anabel;Anabel;Anabelle;Anabelle;Annalisa;Anabelle;有美;有美;あるみ;아롱이;Анабель
ant06;Snooty;Snooty;Hilde;Rosanari;Rosanari;Tarina;Tarina;Lucrezia;Snooty;贵妃;貴妃;こまち;스누티;Снути
ant08;Annalisa;Annalisa;Annalena;Alba;Alba;Roberta;Roberta;Anita;Annalisa;小雅;小雅;みやび;설백;Аннализа
ant09;Olaf;Olaf;Olaf;Olaf;Olaf;Blair;Blair;Ettore;Olaf;安东尼;安東尼;アントニオ;안토니오;Олаф
bea00;Teddy;Teddy;Torsten;Teddy;Teddy;Teddy;Teddy;Teddy;Teddy;太平;太平;たいへいた;병태;Тедди
bea01;Pinky;Pinky;Pia;Violeta;Violeta;Rosine;Rosine;Pinky;Pinky;丹丹;丹丹;タンタン;링링;Пинки
bea02;Curt;Curt;Kurt;Gorbaché;Gorbaché;Curt;Curt;Curt;Curt;铁熊;鐵熊;ガンテツ;뚝심;Керт
bea03;Chow;Chow;Chang;Pando;Pando;Chulin;Chulin;Chowchow;Chow;朝阳;朝陽;チャウヤン;츄양;Чау
bea05;Nate;Nate;Nathan;Nachete;Nachete;Nathan;Nathan;Gianni;Nate;巴克思;巴克思;バッカス;박하스;Нэйт
bea06;Groucho;Groucho;Ernst;Groucho;Groucho;Ronchon;Ronchon;Groucho;Groucho;爪爪;爪爪;クロー;거무틱;Граучо
bea07;Tutu;Tutu;Mandy;Tutú;Tutú;Tutu;Tutu;Lola;Tutu;恋恋;戀戀;れんにゅう;연유;Туту
bea08;Ursala;Ursala;Ursula;Úrsula;Úrsula;Oursula;Oursula;Ursula;Ursala;妮雅;妮雅;ネーヤ;네이아;Урсала
bea09;Grizzly;Grizzly;Gerald;Gruñón;Gruñón;Grizzly;Grizzly;Grizzly;Grizzly;穆穆;穆穆;ムー;무뚝;Гризли
bea10;Paula;Paula;Paula;Lizi;Lizi;Wendy;Wendy;Bruna;Paula;瑞秋;瑞秋;レイチェル;레이첼;Паула
bea11;Ike;Ike;Ike;Astillas;Astillas;Isaac;Isaac;Ortensio;Ike;大功;大功;ダイク;대공;Айк
bea12;Charlise;Charlise;Tabea;Charo;Charo;Zabou;Zabou;Orsola;Charlise;恰咪;恰咪;チャーミー;챠미;Шарлиз
bea13;Beardo;Beardo;Berthold;Bernabé;Bernabé;Eustache;Eustache;Barnaba;Beardo;熊大叔;熊大叔;ベアード;베어드;Беардо
bea14;Klaus;Klaus;Grischa;Gruñerto;Gruñerto;Klaus;Klaus;Maciste;Klaus;熊战士;熊戰士;クマロス;곰도로스;Клаус
bea15;Megan;Megan;Dagmar;Carmela;Carmela;Candy;Candy;Dolcinia;Megan;糖果;糖果;キャンディ;캔디;Меган
brd00;Jay;Jay;Jan;Jota;Jairo;Gérard;Gérard;Jet;Jay;阿燕;阿燕;ツバクロ;참돌이;Джей
brd01;Robin;Robin;Jule;Aria;Aria;Robie;Robie;Rossana;Robin;喳喳;喳喳;パーチク;파틱;Робин
brd02;Anchovy;Anchovy;Armin;Boquerón;Boquerón;Miguel;Miguel;Acciuga;Anchovy;凤尾;鳳尾;アンチョビ;안쵸비;Анчоуи
brd03;Twiggy;Twiggy;Twiggy;Tití;Tití;Titi;Titi;Titti;Twiggy;叽叽;嘰嘰;ピーチク;핀틱;Твигги
brd04;Jitters;Jitters;Alex;Camelio;Camelio;Gilbert;Gilbert;Brivido;Jitters;纪诺;紀諾;ジーニョ;딩요;Джиттерс
brd05;Piper;Piper;Iris;Bárbara;Bárbara;Neige;Neige;Giuliva;Piper;丽婷;麗婷;レイコ;파이프;Пайпер
brd06;Admiral;Admiral;Ansgar;Avutardo;Avutardo;Maréchal;Maréchal;Adolfo;Admiral;李彻;李徹;イッテツ;일섭;Адмирал
brd08;Midge;Midge;Anna;Paloma;Paloma;Michèle;Michèle;Minù;Midge;小酒窝;小酒窩;うずまき;핑글이;Мидж
brd11;Jacob;Jakey;Jesko;Repollo;Repollo;Jacob;Jacob;Valerio;Jacob;余板;余板;ジャコテン;야곱;Джейкоб
brd15;Lucha;Lucha;Lukas;Plumerio;Plumerio;Condor;Condor;Loreto;Lucha;摔角鸦;摔角鴉;マスカラス;마스카라스;Луча
brd16;Jacques;Jacques;Pierre;Gorrelmo;Gorrelmo;Jacky;Jacky;Zampiero;Jacques;赵奇;趙奇;ジョッキー;쪼끼;Жак
brd17;Peck;Peck;Picko;Picuet;Picuet;Pec;Pec;Gheppio;Peck;文雄;文雄;ふみたろう;문대;Пек
brd18;Sparro;Sparro;Nestor;Jaime;Jaime;Darius;Darius;Piumardo;Sparro;周之翔;周之翔;ちゅんのすけ;춘섭;Спарро
bul00;Angus;Angus;Angus;Aliste;Aliste;Angus;Angus;Angus;Angus;施万德;施萬德;セルバンテス;반데스;Ангус
bul01;Rodeo;Rodeo;Toro;Rodeo;Rodeo;Flèche;Flèche;Rodeo;Rodeo;罗迪欧;羅迪歐;ロデオ;로데오;Родео
bul03;Stu;Stu;Carlos;Vitorino;Vitorino;Beubeu;Beubeu;Carlos;Stu;毛乐时;毛樂時;モーリス;모리스;Стью
bul05;T-Bone;T-Bone;Marius;Bovi;Bovi;Steakos;Steakos;Victor;T-Bone;罗宋;羅宋;ボルシチ;티본;Ти-Боун
bul07;Coach;Coach;Arnold;Cacho;Cacho;Arnold;Arnold;Ercole;Coach;大常;大常;テッチャン;철소;Коуч
bul08;Vic;Vic;Klaus;Artorito;Artorito;Toto;Toto;Paco;Vic;卢尔曼;盧爾曼;ノルマン;노르망;Вик
cat00;Bob;Bob;Jens;Arándano;Arándano;Robert;Robert;Bob;Bob;阿判;阿判;ニコバン;히죽;Боб
cat01;Mitzi;Mitzi;Miezi;Misi;Misi;Mistigri;Mistigri;Zampetta;Mitzi;圆圆;圓圓;マール;마르;Митци
cat02;Rosie;Rosie;Sophie;Minina;Minina;Rosie;Rosie;Grinfia;Rosie;彭花;彭花;ブーケ;부케;Рози
cat03;Olivia;Olivia;Bianca;Olivia;Olivia;Olivia;Olivia;Micina;Olivia;奥莉;奧莉;オリビア;올리비아;Оливия
cat04;Kiki;Kiki;Kiki;Ágata;Ágata;Kiki;Kiki;Kiki;Kiki;余子酱;余子醬;キャビア;캐비어;Кики
cat05;Tangy;Tangy;Tanja;Tricia;Tricia;Marine;Marine;Arancina;Tangy;纯纯;純純;ヒャクパー;백프로;Тэнджи
cat06;Punchy;Punchy;Julian;Félix;Félix;Cédric;Cédric;Felix;Punchy;尔光;爾光;ビンタ;빙티;Панчи
cat07;Purrl;Purrl;Franka;Wanda;Wanda;Perle;Perle;Felidia;Purrl;小玉;小玉;たま;타마;Перл
cat08;Moe;Moe;Tristan;Tristán;Tristán;Momo;Momo;Moe;Moe;仁平;仁平;ジンペイ;진상;Моэ
cat09;Kabuki;Kabuki;Kabuki;Kabuki;Kabuki;Kabuki;Kabuki;Kabuki;Kabuki;戈伍纪;戈伍紀;かぶきち;가북희;Кабуки
cat10;Kid Cat;Kid Cat;Pit;Gatomán;Gatomán;Câlin;Câlin;Zampa;Kid Cat;阿一;阿一;１ごう;1호;Кид Кэт
cat11;Monique;Monique;Monique;Monique;Monique;Monique;Monique;Marylin;Monique;珍珍;珍珍;ジェーン;제인;Моник
cat12;Tabby;Tabby;Zita;Liana;Liana;Tigri;Tigri;Lisca;Tabby;小虎;小虎;トラこ;호냥이;Тэбби
