label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
001;Capricorn;Capricorn;Steinbock;capricornio;capricornio;Capricorne;Capricorne;Capricorno;Steenbok;摩羯座;魔羯座;やぎ;염소;Козерог
002;Aquarius;Aquarius;Wassermann;acuario;acuario;Verseau;Verseau;Acquario;Waterman;水瓶座;水瓶座;みずがめ;물병;Водолей
003;Pisces;Pisces;Fische;piscis;piscis;Poissons;Poissons;Pesci;Vissen;双鱼座;雙魚座;うお;물고기;Рыбы
004;Aries;Aries;Widder;aries;aries;Bélier;Bélier;Ariete;Ram;白羊座;牡羊座;おひつじ;양;Овен
005;Taurus;Taurus;Stier;tauro;tauro;Taureau;Taureau;Toro;Stier;金牛座;金牛座;おうし;황소;Телец
006;Gemini;Gemini;Zwillinge;géminis;géminis;Gémeaux;Gémeaux;Gemelli;Tweelingen;双子座;雙子座;ふたご;쌍둥이;Близнецы
007;Cancer;Cancer;Krebs;cáncer;cáncer;Cancer;Cancer;Cancro;Kreeft;巨蟹座;巨蟹座;かに;게;Рак
008;Leo;Leo;Löwe;leo;leo;Lion;Lion;Leone;Leeuw;狮子座;獅子座;しし;사자;Лев
009;Virgo;Virgo;Jungfrau;virgo;virgo;Vierge;Vierge;Vergine;Maagd;处女座;處女座;おとめ;처녀;Дева
010;Libra;Libra;Waage;libra;libra;Balance;Balance;Bilancia;Weegschaal;天秤座;天秤座;てんびん;천칭;Весы
011;Scorpio;Scorpio;Skorpion;escorpio;escorpio;Scorpion;Scorpion;Scorpione;Schorpioen;天蝎座;天蠍座;さそり;전갈;Скорпион
012;Sagittarius;Sagittarius;Schütze;sagitario;sagitario;Sagittaire;Sagittaire;Sagittario;Boogschutter;射手座;射手座;いて;사수;Стрелец
