label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
ant_M;anteater;anteater;Ameisenbär;oso hormiguero;oso hormiguero;fourmilier;fourmilier;formichiere;miereneter;食蚁兽;食蟻獸;アリクイ;개미핥기;муравьед
ant_F;anteater;anteater;Ameisenbär;osa hormiguera;osa hormiguera;fourmilier;fourmilier;formichiere;miereneter;食蚁兽;食蟻獸;アリクイ;개미핥기;муравьед
bea_M;bear;bear;Bär;oso;oso;ours;ours;orso;beer;熊;熊;クマ;곰;медведь
bea_F;bear;bear;Bär;osa;osa;ourse;ourse;orsa;beer;熊;熊;クマ;곰;медведица
brd_M;bird;bird;Vogel;pájaro;pájaro;oiseau;oiseau;uccello;vogel;鸟;鳥;トリ;새;птица
brd_F;bird;bird;Vogel;ave;ave;oiseau;oiseau;uccello;vogel;鸟;鳥;トリ;새;птица
bul_M;bull;bull;Stier;toro;toro;taureau;taureau;toro;stier;公牛;公牛;オウシ;수소;бык
cat_M;cat;cat;Kater;gato;gatito;chat;chat;gatto;kat;猫;貓;ネコ;고양이;кот
cat_F;cat;cat;Katze;gata;gatita;chatte;chatte;gatta;kat;猫;貓;ネコ;고양이;кошка
cbr_M;bear cub;bear cub;Jungbär;osezno;osezno;ourson;ourson;orsetto;berenjong;小熊;小熊;コグマ;꼬마곰;медвежонок
cbr_F;bear cub;bear cub;Jungbär;osezna;osezna;oursonne;oursonne;orsetta;berenjong;小熊;小熊;コグマ;꼬마곰;медвежонок
chn_M;chicken;chicken;Hahn;pollo;pollo;poulet;poulet;pollo;haan;鸡;雞;ニワトリ;닭;петух
chn_F;chicken;chicken;Huhn;gallina;gallina;poule;poule;gallina;hen;鸡;雞;ニワトリ;닭;курица
cow_F;cow;cow;Kuh;vaca;vaca;vache;vache;mucca;koe;母牛;母牛;メウシ;암소;корова
crd_M;alligator;alligator;Krokodil;cocodrilo;cocodrilo;alligator;alligator;coccodrillo;krokodil;鳄鱼;鱷魚;ワニ;악어;крокодил
crd_F;alligator;alligator;Krokodil;cocodrila;cocodrila;alligator;alligator;coccodrillo;krokodil;鳄鱼;鱷魚;ワニ;악어;крокодилица
der_M;deer;deer;Hirsch;ciervo;ciervo;cerf;cerf;cervo;hert;小鹿;小鹿;コジカ;사슴;олень
der_F;deer;deer;Hirsch;cierva;cierva;biche;biche;cerva;hert;小鹿;小鹿;コジカ;사슴;олениха
dog_M;dog;dog;Hund;perro;perrito;chien;chien;cane;hond;狗;狗;イヌ;개;пес
dog_F;dog;dog;Hund;perra;perrita;chienne;chienne;cane;hond;狗;狗;イヌ;개;собака
duk_M;duck;duck;Ente;pato;pato;canard;canard;anatra;eend;鸭子;鴨子;アヒル;오리;селезень
duk_F;duck;duck;Ente;pata;pata;cane;cane;anatra;eend;鸭子;鴨子;アヒル;오리;утка
elp_M;elephant;elephant;Elefant;elefante;elefante;éléphant;éléphant;elefante;olifant;大象;大象;ゾウ;코끼리;слон
elp_F;elephant;elephant;Elefant;elefanta;elefanta;éléphante;éléphante;elefantessa;olifant;大象;大象;ゾウ;코끼리;слониха
flg_M;frog;frog;Frosch;sapo;sapo;grenouille;grenouille;rana;kikker;青蛙;青蛙;カエル;개구리;лягушка
flg_F;frog;frog;Frosch;rana;rana;grenouille;grenouille;rana;kikker;青蛙;青蛙;カエル;개구리;лягушка
goa_M;goat;goat;Ziegenbock;chivo;chivo;bouc;bouc;capra;geit;山羊;山羊;ヤギ;염소;козел
goa_F;goat;goat;Ziege;cabra;cabra;chèvre;chèvre;capra;geit;山羊;山羊;ヤギ;염소;коза
gor_M;gorilla;gorilla;Gorilla;gorila;gorila;gorille;gorille;gorilla;gorilla;猩猩;猩猩;ゴリラ;고릴라;горилла
gor_F;gorilla;gorilla;Gorilla;gorila;gorila;gorille;gorille;gorilla;gorilla;猩猩;猩猩;ゴリラ;고릴라;горилла
ham_M;hamster;hamster;Hamster;hámster;hámster;hamster;hamster;criceto;hamster;仓鼠;倉鼠;ハムスター;햄스터;хомяк
ham_F;hamster;hamster;Hamster;hámster;hámster;hamster;hamster;criceto;hamster;仓鼠;倉鼠;ハムスター;햄스터;хомяк
hip_M;hippo;hippo;Nilpferd;hipopótamo;hipopótamo;hippopotame;hippopotame;ippopotamo;nijlpaard;河马;河馬;カバ;하마;бегемот
