label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
00000;wooden door;wooden door;Holztür;puerta de madera;puerta de madera;porte en bois;porte en bois;porta di legno;houten deur;积木门;木門;きぐみのドア;목제 문;деревянная дверь
00002;wooden door;wooden door;Holztür;puerta de madera;puerta de madera;porte en bois;porte en bois;porta di legno;houten deur;积木门;木門;きぐみのドア;목제 문;деревянная дверь
00003;iron door;iron door;Eisentür;puerta de hierro;puerta de hierro;porte en métal;porte en métal;porta di metallo;ijzeren deur;铁门;鐵門;てつのドア;철제 문;железная дверь
00004;iron door;iron door;Eisentür;puerta de hierro;puerta de hierro;porte en métal;porte en métal;porta di metallo;ijzeren deur;铁门;鐵門;てつのドア;철제 문;железная дверь
00005;metal-accent door;metal-accent door;Beschlagtür;puerta de caserón;puerta de caserón;porte à pentures;porte à pentures;porta rinforzata;schuurdeur;金属配件门;金屬配件門;かなぐのドア;금속 장식 문;клепаная дверь
00006;metal-accent door;metal-accent door;Beschlagtür;puerta de caserón;puerta de caserón;porte à pentures;porte à pentures;porta rinforzata;schuurdeur;金属配件门;金屬配件門;かなぐのドア;금속 장식 문;клепаная дверь
00009;common door;common door;Feldertür;puerta con molduras;puerta con molduras;porte ordinaire;porte ordinaire;porta comune;paneeldeur;常见门;常見門;よくあるドア;평범한 문;обычная дверь
00010;common door;common door;Feldertür;puerta con molduras;puerta con molduras;porte ordinaire;porte ordinaire;porta comune;paneeldeur;常见门;常見門;よくあるドア;평범한 문;дверь с вставками
00014;zen door;zen door;Japan-Tür;puerta oriental;puerta oriental;porte zen;porte zen;porta zen;zendeur;和风门;和風門;わふうなドア;일본풍 문;дзен-дверь
00015;zen door;zen door;Japan-Tür;puerta oriental;puerta oriental;porte zen;porte zen;porta zen;zendeur;和风门;和風門;わふうなドア;일본풍 문;дзен-дверь
00016;windowed door;windowed door;Fenstertür;puerta clásica;puerta clásica;porte à fenêtre;porte à fenêtre;porta con finestra;deur met raampje;有窗木门;有窗木門;まどつきのドア;창문이 달린 문;дверь с окном
