label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
0001;Everything;Everything;Alles;Todos;Todos;Tous;Tous;Tutti;Alles;全部;全部;ぜんぶ;전부;Все
0061;Favorites;Favorites;Favoriten;Favoritos;Favoritos;Favoris;Favoris;Preferiti;Favorieten;我的最爱;我的最愛;おきにいり;즐겨찾기;Избранное
0062;Craftable;Craftable;Herstellbar;Disponibles;Disponibles;Fabrication possible;Fabrication possible;Realizzabili;Maakbaar;可制作;可製作;つくれる;만들 수 있음;Можно смастерить
0063;Not Crafted Yet;Not Crafted Yet;Noch nicht hergestellt;Sin hacer;Sin hacer;Pas encore fabriqués;Pas encore fabriqués;Non ancora fabbricati;Nog niet gemaakt;没制作过;沒製作過;つくったことがない;만든 적 없음;Еще не созданные
0019;Customizable;Customizable;Umgestaltbar;Personalizable;Personalizable;Personnalisables;Personnalisables;Personalizzabili;Aanpasbaar;可改造;可改造;リメイクできる;리폼 가능;Изменяемые
0018;Housewares;Housewares;Einrichtung;Muebles;Muebles;Mobilier;Mobilier;Complementi d'arredo;Huisraad;家具;家具;かぐ;가구;Предметы обстановки
0006;Miscellaneous;Miscellaneous;Kleinkram;Enseres;Misceláneas;Divers;Divers;Soprammobili/Utensili;Hebbedingetjes;小物件;小物件;こもの;잡화;Разное
0007;Wall-mounted;Wall-mounted;Wanddeko;Para colgar;Para colgar;Déco murale;Déco murale;Da muro;Voor aan de muur;壁挂物;壁掛物;かべかけ;벽걸이;Настенные
0015;Rugs;Rugs;Teppiche;Alfombras;Alfombras;Tapis;Tapis;Tappeti;Tapijten;地垫;地毯;ラグ;러그;Ковры
0020;Floors;Floors;Böden;Suelos;Suelos;Sols;Sols;Pavimenti;Vloeren;地板;地板;ゆかいた;바닥;Полы
0021;Wallpaper;Wallpaper;Tapeten;Papel de pared;Papel de pared;Papiers peints;Papiers peints;Carta da parati;Wanden;壁纸;壁紙;かべがみ;벽지;Обои
0026;Wallpaper/Floors/Rugs;Wallpaper/Floors/Rugs;Tapeten/Böden/Teppiche;Paredes y suelos;Paredes y suelos;Papiers peints/Sols/Tapis;Papiers peints/Sols/Tapis;Muri/Pavimenti/Tappeti;Wanden/vloeren/tapijten;墙壁·地板·地垫;牆壁‧地板‧地毯;かべ・ゆか・ラグ;벽지/바닥/러그;Обои/полы/ковры
0014;Creatures;Creatures;Lebewesen;Seres vivos;Seres vivos;Créatures;Créatures;Esseri viventi;Insecten en vissen;生物;生物;いきもの;생물;Живность
0022;Other;Other;Sonstiges;Otros;Otros;Autres;Autres;Altro;Overig;其他;其他;そのほか;기타;Прочее
0012;Music;Music;Musik;Música;Música;Musiques;Musiques;Musica;Muziek;音乐;音樂;ミュージック;음악;Музыка
0023;Fossils;Fossils;Fossilien;Fósiles;Fósiles;Fossiles;Fossiles;Fossili;Fossielen;化石;化石;かせき;화석;Окаменелости
0025;Other;Other;Sonstiges;Otros;Otros;Autres;Autres;Altro;Overig;其他;其他;そのほか;기타;Прочее
0059;Tools;Tools;Werkzeuge;Herramientas;Herramientas;Outils;Outils;Strumenti;Gereedschap;工具;工具;どうぐ;도구;Инструменты
0013;Fashion Items;Fashion Items;Mode;Moda;Moda;Mode;Mode;Moda;Modeartikelen;服饰;時尚單品;ファッション;패션;Мода
0051;Headwear;Headwear;Kopfbedeckungen;Sombrerería;Sombreros;Couvre-chefs/masques;Chapeaux/Masques;Copricapi/Maschere;Hoofddeksels;头戴物;頭戴物;かぶりもの;머리 장식;На голову
0052;Accessories;Accessories;Accessoires;Complementos;Accesorios;Accessoires;Accessoires;Accessori;Accessoires;饰品;飾品;アクセサリー;액세서리;Аксессуары
0053;Tops;Tops;Oberteile;Partes de arriba;Partes de arriba;Hauts;Hauts;Parte superiore;Bovenlichaam;上装;上身;トップス;상의;Верх
0054;Dress-Up;Dress-Up;Kleider;Cuerpo entero;Cuerpo entero;Robes/tenues;Robes/Tenues;Vestiti;Jurken en pakken;套装;套裝;ワンピース;원피스;Верх и низ
0055;Bottoms;Bottoms;Unterteile;Partes de abajo;Partes de abajo;Pantalons/jupes;Pantalons/Jupes;Parte inferiore;Onderlichaam;下装;下身;ボトムス;하의;Низ
0056;Socks;Socks;Socken;Calcetines;Calcetines;Chaussettes;Bas;Calze;Sokken;袜子;襪子;くつした;양말;Носки и чулки
0057;Shoes;Shoes;Schuhe;Calzado;Calzado;Chaussures;Souliers;Calzature;Schoenen;鞋子;鞋子;くつ;신발;Обувь
0058;Bags;Bags;Taschen;Bolsos;Bolsas;Sacs;Sacs;Borse;Tassen;包包;包包;バッグ;가방;Сумки
0201;Everything;Everything;Alles;Todos;Todos;Tous;Tous;Tutti;Alles;全部;全部;ぜんぶ;전부;Все
0202;Housewares;Housewares;Einrichtung;Muebles;Muebles;Mobilier;Mobilier;Complementi d'arredo;Huisraad;家具;家具;かぐ;가구;Предметы обстановки
0203;Miscellaneous;Miscellaneous;Kleinkram;Enseres;Misceláneas;Divers;Divers;Soprammobili/Utensili;Hebbedingetjes;小物件;小物件;こもの;잡화;Разное
0204;Wall-mounted;Wall-mounted;Wanddeko;Para colgar;Para colgar;Déco murale;Déco murale;Da muro;Voor aan de muur;壁挂物;壁掛物;かべかけ;벽걸이;Настенные
0205;Rugs;Rugs;Teppiche;Alfombras;Alfombras;Tapis;Tapis;Tappeti;Tapijten;地垫;地毯;ラグ;러그;Ковры
0206;Floors;Floors;Böden;Suelos;Suelos;Sols;Sols;Pavimenti;Vloeren;地板;地板;ゆかいた;바닥;Полы
0207;Wallpaper;Wallpaper;Tapeten;Papel de pared;Papel de pared;Papiers peints;Papiers peints;Carta da parati;Wanden;壁纸;壁紙;かべがみ;벽지;Обои
0208;Fashion Items;Fashion Items;Mode;Moda;Moda;Mode;Mode;Moda;Modeartikelen;服饰;時尚單品;ファッション;패션;Мода
0209;Creatures;Creatures;Lebewesen;Seres vivos;Seres vivos;Créatures;Créatures;Esseri viventi;Insecten en vissen;生物;生物;いきもの;생물;Живность
0210;Other;Other;Sonstiges;Otros;Otros;Autres;Autres;Altro;Overig;其他;其他;そのほか;기타;Прочее
0211;Residents;Residents;Einwohner;Residentes;Residentes;Résidents;Résidents;Residenti;Eilandbewoners;居民;居民;じゅうみん;주민;Жители
0215;Event;Event;Event;Evento;Evento;Événement;Événement;Evento;Evenement;活动;活動;イベント;이벤트;Мероприятие
0301;Everything;Everything;Alles;Todos;Todos;Tous;Tous;Tutti;Alles;全部;全部;ぜんぶ;전부;Все
0302;Headwear;Headwear;Kopfbedeckungen;Sombrerería;Sombreros;Couvre-chefs/masques;Chapeaux/Masques;Copricapi/Maschere;Hoofddeksels;头戴物;頭戴物;かぶりもの;머리 장식;На голову
0303;Accessories;Accessories;Accessoires;Complementos;Accesorios;Accessoires;Accessoires;Accessori;Accessoires;饰品;飾品;アクセサリー;액세서리;Аксессуары
